Prabal Plus Resolved Tickets - 16-06-2025 17:26:23 ( From  01-05-2025  To  31-05-2025),,,,,,,,,,,,,,,,,,,,,,
Prabal Docket ID,Source Docket ID,LC ID,Customer,Bandwidth,WAN IP,Circle,A-SSA,A-Exchange,A-Address,B-SSA,B-Exchange,B-Address,OpenTime,CloseTime,DownTime,Team,Priority,Status,RFP,RFO,Service Type,Booked in
MWUE250512135,MPLS2025053101977,1000272108,MANAGER PNB,2 Mbps,10.110.79.230,UE,RBL,RBLLGJ,PUNJAB NATIONAL BANKLALGANJ BRANCH RAIBARELIRAEBARELI,,,,2025-05-31 14:29:16,2025-05-31 17:56:24,0days 03h:27m,RBL LLM LALGANJ,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250512134,MPLS2025053101975,1000127559,"M/S BANK OF BARODA, SUN TOWER, 7THFLOOR, EBUSINESS UE",2 Mbps,10.150.92.210,UE,RBL,RBLRBL,GEGASON CROS POST MALKE GAONVIA PURE PANDEY DISTTRAEBARELI1RAIBAREILLY,,,,2025-05-31 14:29:15,2025-05-31 17:27:30,0days 02h:58m,RBL LLM PHONES,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MAUE250512099,612236,1000168969,UCOBANK,2 Mbps,10.241.33.238,UE,RBL,RBLLGJ,Badouria Complex Near Hanuman Mandir Behta Chauraha P OLalganj ?Dist : RaebareliRAEBARELI,,,,2025-05-31 13:56:13,2025-05-31 17:27:56,0days 03h:31m,RBL LLM LALGANJ,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,UCO-API
MSUE250512096,INC000047117003,1000431568,STATE BANK OFINDIA,4 Mbps,10.126.45.82,UE,RBL,RBLRBL,STATE BANK OF INDIA BR CODE 16863SUCHI AMETHIVILL SUCHI POST AMETHI AMETHIVILL SUCHI POST AMETHI AMETHIRAIBAREILLY,,,,2025-05-31 13:17:37,2025-05-31 15:24:28,0days 02h:06m,RBL LLM PHONES,C,CLOSED,Reason not updated,NA,MPLS VPN LC,SBI-API
MAUE250511893,610838,1000168824,UCOBANK,2 Mbps,10.241.34.102,UE,RBL,RBLKRB,Karhiya Bazar C/o Raja C S Singh Plot no 72 KarhiyaKothi Block Salon District AmethiRAEBARELI,,,,2025-05-30 19:18:32,2025-05-31 11:10:01,0days 15h:51m,RBL SSA LLM SALON,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,UCO-API
MWUE250511841,MPLS2025053003088,1000096347,"M/S BANK OF BARODA, SUN TOWER, 7THFLOOR, EBUSINESS UE",2 Mbps,10.150.94.94,UE,RBL,RBLRBL,Vill Shankarganj Dist1Amethi1RAIBAREILLY,,,,2025-05-30 17:29:21,2025-05-31 12:59:35,0days 19h:30m,RBL LLM PHONES,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250511842,MPLS2025053003089,1000590748,BANK OF BARODA,2 Mbps,None,UE,RBL,RBLHRC,BANK OF BARODARAILWAY STATION Harchandpur ROADNEAR BLOCK OFFICEUTTAR PRADESHRAIBAREILLY,,,,2025-05-30 17:29:21,2025-05-31 12:59:35,0days 19h:30m,RBL LLM GE,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250511838,MPLS2025053003085,1000096195,"M/S BANK OF BARODA, SUN TOWER, 7THFLOOR, EBUSINESS UE",2 Mbps,10.150.93.54,UE,RBL,RBLTLI,Bank of Baroda House No 490490 Main Road Takiya Villageand Post Tiloi DistrictDistrict Raebareli U   PRAIBAREILLY,,,,2025-05-30 17:29:20,2025-05-31 13:29:07,0days 19h:59m,RBL LLM JAIS,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250511839,MPLS2025053003086,1000096234,"M/S BANK OF BARODA, SUN TOWER, 7THFLOOR, EBUSINESS UE",2 Mbps,10.150.94.42,UE,RBL,RBLRBL,Bank of Baroda Inhauna,,,Inhauna,2025-05-30 17:29:20,2025-05-31 13:29:07,0days 19h:59m,RBL LLM PHONES,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
MWUE250511836,MPLS2025053003082,1000127311,"M/S BANK OF BARODA, SUN TOWER, 7THFLOOR, EBUSINESS UE",2 Mbps,10.150.92.6,UE,RBL,RBLDEH,V&P DEEH DISTT RAEBARELI MNSW/oRouter1RAIBAREILLY,,,,2025-05-30 17:29:19,2025-05-31 13:29:04,0days 19h:59m,SUL BA ADMIN TEAM,C,RFO PENDING,Reason not updated,NA,MPLS VPN LC,WC
