Prabal Docket ID,Source Docket ID,LC ID,Customer,Bandwidth,WAN IP,Circle,A-SSA,A-Exchange,A-Address,B-SSA,B-Exchange,B-Address,OpenTime,CloseTime,DownTime,Team,Priority,Status,RFP,RFO,Service Type,Booked in,Resolution_Days
MWUE250512135,MPLS2025053101977,1000272108.0,MANAGER PNB,2 Mbps,10.110.79.230,UE,RBL,RBLLGJ,PUNJAB NATIONAL BANKLALGANJ BRANCH RAIBARELIRAEBARELI,,,,2025-05-31 14:29:16,2025-05-31 17:56:24,0days 03h:27m,RBL LLM LALGANJ,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,0.1438425925925926
MWUE250512134,MPLS2025053101975,1000127559.0,"M/S BANK OF BARODA, SUN TOWER, 7THFLOOR, EBUSINESS UE",2 Mbps,10.150.92.210,UE,RBL,RBLRBL,GEGASON CROS POST MALKE GAONVIA PURE PANDEY DISTTRAEBARELI1RAIBAREILLY,,,,2025-05-31 14:29:15,2025-05-31 17:27:30,0days 02h:58m,RBL LLM PHONES,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,0.12378472222222223
MAUE250512099,612236,1000168969.0,UCOBANK,2 Mbps,10.241.33.238,UE,RBL,RBLLGJ,Badouria Complex Near Hanuman Mandir Behta Chauraha P OLalganj ?Dist : RaebareliRAEBARELI,,,,2025-05-31 13:56:13,2025-05-31 17:27:56,0days 03h:31m,RBL LLM LALGANJ,C,RFO PENDING,Reason not updated,,MPLS VPN LC,UCO-API,0.14702546296296296
MSUE250512096,INC000047117003,1000431568.0,STATE BANK OFINDIA,4 Mbps,10.126.45.82,UE,RBL,RBLRBL,STATE BANK OF INDIA BR CODE 16863SUCHI AMETHIVILL SUCHI POST AMETHI AMETHIVILL SUCHI POST AMETHI AMETHIRAIBAREILLY,,,,2025-05-31 13:17:37,2025-05-31 15:24:28,0days 02h:06m,RBL LLM PHONES,C,CLOSED,Reason not updated,,MPLS VPN LC,SBI-API,0.08809027777777778
MAUE250511893,610838,1000168824.0,UCOBANK,2 Mbps,10.241.34.102,UE,RBL,RBLKRB,Karhiya Bazar C/o Raja C S Singh Plot no 72 KarhiyaKothi Block Salon District AmethiRAEBARELI,,,,2025-05-30 19:18:32,2025-05-31 11:10:01,0days 15h:51m,RBL SSA LLM SALON,C,RFO PENDING,Reason not updated,,MPLS VPN LC,UCO-API,0.6607523148148148
MWUE250511841,MPLS2025053003088,1000096347.0,"M/S BANK OF BARODA, SUN TOWER, 7THFLOOR, EBUSINESS UE",2 Mbps,10.150.94.94,UE,RBL,RBLRBL,Vill Shankarganj Dist1Amethi1RAIBAREILLY,,,,2025-05-30 17:29:21,2025-05-31 12:59:35,0days 19h:30m,RBL LLM PHONES,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,0.812662037037037
MWUE250511842,MPLS2025053003089,1000590748.0,BANK OF BARODA,2 Mbps,,UE,RBL,RBLHRC,BANK OF BARODARAILWAY STATION Harchandpur ROADNEAR BLOCK OFFICEUTTAR PRADESHRAIBAREILLY,,,,2025-05-30 17:29:21,2025-05-31 12:59:35,0days 19h:30m,RBL LLM GE,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,0.812662037037037
MWUE250511838,MPLS2025053003085,1000096195.0,"M/S BANK OF BARODA, SUN TOWER, 7THFLOOR, EBUSINESS UE",2 Mbps,10.150.93.54,UE,RBL,RBLTLI,Bank of Baroda House No 490490 Main Road Takiya Villageand Post Tiloi DistrictDistrict Raebareli U   PRAIBAREILLY,,,,2025-05-30 17:29:20,2025-05-31 13:29:07,0days 19h:59m,RBL LLM JAIS,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,0.8331828703703704
MWUE250511839,MPLS2025053003086,1000096234.0,"M/S BANK OF BARODA, SUN TOWER, 7THFLOOR, EBUSINESS UE",2 Mbps,10.150.94.42,UE,RBL,RBLRBL,Bank of Baroda Inhauna,,,Inhauna,2025-05-30 17:29:20,2025-05-31 13:29:07,0days 19h:59m,RBL LLM PHONES,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,0.8331828703703704
MWUE250511836,MPLS2025053003082,1000127311.0,"M/S BANK OF BARODA, SUN TOWER, 7THFLOOR, EBUSINESS UE",2 Mbps,10.150.92.6,UE,RBL,RBLDEH,V&P DEEH DISTT RAEBARELI MNSW/oRouter1RAIBAREILLY,,,,2025-05-30 17:29:19,2025-05-31 13:29:04,0days 19h:59m,SUL BA ADMIN TEAM,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,0.8331597222222222
MWUE250511837,MPLS2025053003083,1000096200.0,"M/S BANK OF BARODA, SUN TOWER, 7THFLOOR, EBUSINESS UE",2 Mbps,10.150.92.250,UE,RBL,RBLTLI,MOHANGANJ PO MOHANGANJ DISTT1RAEBARELI1RAIBAREILLY,,,,2025-05-30 17:29:19,2025-05-31 13:29:07,0days 19h:59m,RBL LLM JAIS,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,0.8331944444444445
MWUE250511834,MPLS2025053003079,1000497951.0,Bank of Baroda Bank,2 Mbps,10.150.102.46,UE,RBL,RBLJAS,BOB 5948 RGIPT  JAIS CAMPUSBRANCH RAJIV GANDHI INSTITUTE OFPETROLEUM TECHNOLOGY   MUBARAKPUR MUKHTIYA  BAHADURPUR  AMETRAIBAREILLY,,,,2025-05-30 17:29:18,2025-05-31 13:29:07,0days 19h:59m,RBL LLM JAIS,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,0.8332060185185185
MWUE250511831,MPLS2025053003076,1000127323.0,"M/S BANK OF BARODA, SUN TOWER, 7THFLOOR, EBUSINESS UE",2 Mbps,10.150.92.222,UE,RBL,RBLJAS,JAIS BOB JAISBS1RAEBARELI1RAIBAREILLY,,,,2025-05-30 17:29:17,2025-05-31 13:29:06,0days 19h:59m,RBL LLM JAIS,C,RFO PENDING,Reason not updated,,MPLS VPN LC,WC,0.8332060185185185
